Original_Index,Supplier,Lock_Reason,Extracted,Status,Corrected_Requirement
24,Casearia Bresciana Ca.Bre - Società Cooperativa Agricola Sca,"Following the certification visit on 12,13,14/05/2025, and following a preliminary technical review, the certificate is suspended due to Major non-conformity
 In detail § 4.13.1
 The inspection of the preparation and production departments revealed an ongoing infestation situation.
 Example: Hard cheese production area with presence of flying insects (flies and Diptera), in particular in the disused area of ​​Leonessa cheese production; flying insects in the Grana Padano hard cheese production a",4.13.1,OK,
25,Becker Süßwaren GmbH,"4.18.1 KO Non-Conformity:
 The identification of the product batch Popcorn Sweet 100g ""zwart"" BB 21.07.2025 / batch L1034 and its relation to the batch of packaging material with the designation tubular bag 100g Popcorn zoet moment zwarte with food contact is not possible, as the necessary batch designation of the film used was not entered in the production log. Therefore, the traceability of the packaging material is not verifiable.",4.18.1,OK,
26,TAT - POL Sp. z o.o.,No payment for the audit done,,MISSING,
27,GRANJA AVICOLA EL ANGEL SL S.L.,"KO 4.18.1: The correct traceability of the packaging material in contact with the product of the plastic lids being used at the time of the audit cannot be evidenced:
 -The system employed by the company to record the batches of packaging material in use is done by reading the labels on the material as it enters the production line, with this information being loaded into computer software:
 When the available batches of plastic caps were checked ‘in situ’ on the production line on 14/05/2025, s",4.18.1,OK,
28,LANGUS SEAFOOD S.L,"During the audit performed on 12th May 2025 to 14th May 2025, it was detected a Major non-conformity under the requirement 4.3.2.
 
 Major non-conformity 4.3.2.
 
 The company has incorporated in the scope a new product, REFRIGERATED RAW LANGOSTINO packaged in MAP. This product is only made for a reference for customer C. 
 A complete revision of the process has been carried out including treatment processes as well as on-site controls until the finished product is obtained. 
 This product is re",4.3.2,OK,
29,LA SORGENTE SRL,"During Integrity on site Check detected one NC Major at req 4.10.2: The warehouse of non-perishable raw materials and primary and secondary packaging material appears, with particular reference to the area between the shelves and the walls, to be in a very poor state of cleanliness and order, with the presence of material (dirt) not removed which in some cases appears to be very similar to feces of animals larger than mice. The material in particular appears to be a mix of feces and blue packagi",4.10.2,OK,
30,King Cuisine B.V.,"Major on 4.9.9.2: No corrective action after water was tested ('tappunt glas-menger') at 2 E.Coli/100 ml (Toleranceos < 1/100ml). Note: do deviations of E.Coli in product were seen.
 
 Note: Level NC was overruled by certification committee after audit.",4.9.9.2,OK,
31,CENTRO SERVIZI ITALIA S.R.L.,Failure to pay invoices relating to audit activities already carried out.,,MISSING,
33,MODERN CIKOLATA GIDA SANAYI A.S.,payment not made to the CB for audit performed,,MISSING,
34,Multimes Group LTD,"As of today (14.05.2025), Certima BV withdraw the certificate number IFS – 01078 of client MULTIMES GROUP EOOD
 13, Oborishte Str., 5140 Lyaskovets, Bulgaria
 COID: 52336
 
 Reason: During the announced certification audit conducted on 12-13.05.2025 issued KO and Major
 
 КО on requirement 5.1.1:
 The planned audit for 2025 on 24-25.04.25 (see Order 88/14.04.25) was not performed. Verification and internal audit program for planning verification activities for each year are required by the compa","5.1.1, 2.1.2.1",MULTIPLE,
36,"Kirchner, Fischer & Co. GmbH","Major Nonconformity 4.5.2:
 As part of traceability check, random checks were carried out on the raw materials used to ensure that packaging containing plastic that comes into direct contact with food was compliant. These checks revealed that no declarations of conformity were available for the packaging, either for direct imports or for purchases from within the EU (examples: Import: Item 680020 Rooibos Superior Long Cut, Import: Item 680010 Honeybush Corse Cut kbA/Organic, Import: Item 803253 ","4.5.2, 4.10.2",MULTIPLE,
37,ECO BASICS BIO S.L.,"During the audit carried out in 7 May 2025 a major NC was detected on: 
 
 Major - 5.4.1
 The scales used in the following production lines: Vol 1, Vol 2, Multi 1, Multi 2, Multi 3, Flours, Superfoods, Doypack, Liq 1 and Liq 2, for weighing the product destined for the final consumer have not been metrologically verified as indicated in Order ICT/155/2020.",5.4.1,OK,
38,ITALIATARTUFI S.R.L.,"Following the certification visit on 29.30/04/2025, and following a preliminary technical review, the certificate is suspended due to major Non conformity
 In detail § 5.5.1
 The correct level check during the filling of oil-based condiment bottles does not appear to be systematically applied by the company.
 The audit witnessed the filling of 270 ml glass bottles product ""White truffle flavored food condiment"" using measuring container bottles (250 ml at 65 mm from the brim of the mouth)
 Vario",5.5.1,OK,
39,CAPT ET FILS DEPUIS 1850 SARL,"2.3.9.1 (KO): During the on-site inspection of the Arbusigny site, it was noted that the frequency of checks on the metal detector, CCP 3, packaging line for whole Reblochon cheese, was not being complied with. Checks are in fact scheduled at start-up, on return from each break (2 per team) and at the end of production.
 For 11 April 2025, the check was carried out at the start at 5.46 a.m. and at the end of production at 12.56 p.m. The check on returning from the break at 9.22 a.m. was not carr","4.17.2, 4.8.4",MULTIPLE,
40,Global Co-packing .,"Major on 5.5.1: The products already produced were not put on hold by the company and re-tested where it was known that not all packaging were conform legal limit. 
 Also, the system for weight control for minimal weight requires only 1 sample per 30 minutes were in practice 5 samples are taken (like e-weighing permit). As the system only requires one sample the operator corrected the dosing system, but no actions taken towards product already produced. Therefore, the sampling system is not clea",5.5.1,OK,
41,PAULISTA IMPEX SRL,"During the renewal audit on 24-25.04.2025, it has been raised a KO (D) under requirement 4.12.1:During the on site inspection , was seen issues regarding possible physical contamination as follows: damaged conveyors belts in direct contact with dough-pretzels machine, same baking trays used for breadstick with exfoliated Teflon coating. Furthermore, the company has installed metal detector on the line for breadstick and pretzel (mobile system) from the last audit ; this metal detector was calibr",4.12.1,OK,
42,P&M Rental Sp. z o.o.,No payment for the audit done,,MISSING,
43,INDUSTRIAS CÁRNICAS BLANCAFORT S.A.,"During the audit carried out on 28th, 29th and 30th of April, the auditor raised a Major NC in the requirement 4.3.2: A label is observed with two incompatible sales denominations: COOKED HAM and COOKED HAM COLD CUT. The denomination COOKED HAM cannot be used when starches are used as ingredients.
 There is no approved label available for the product named in the formulation MSE-161 EURO MK 90.",4.3.2,OK,
44,NINFEO SOC. COOP. AGRICOLA,The suspension was decided due to the failure to pay invoices relating to activities already carried out by Certiquality S.r.l.,,MISSING,
45,"ACEITES ALBERT, S.A.","On the basis of the analysis carried out on the extraordinary information communicated to IFS with ID 92E7A90F, OCA Instituto de Certificación determines that it is necessary to extend the investigation. Therefore it is decided to suspend the current certificate.",,MISSING,
46,VCR-SODALMU .,"On 6,7,8-05-2025 was performed an announced audit, and the auditor rated 2 Major No Conformity in this audit for the following requirements:
 
 • Major NC rating for requirement 4.3.2:
 In relation to labelling, the following non-compliance with current legislation published by the Government of Morocco is observed (Décret n°2-12-389 du 11 joumada II 1434 (04-22-2013) fixant les conditions et les modalités d’étiquetage des produits Alimentaires (published in BO n°6152 of 05/16/2013), Arrêté conj","4.19.2, 4.3.2",MULTIPLE,
49,"LITERA MEAT, S.L.","During the unannounced Integrity On-site Check, the following major non-conformity has been detected in requirement 5.5.1.: The quantity checks carried out on the day of the on-site integrity check on the 'cabin plans' lines were not effective. These lines were packing ""frozen pork neck bones"" with a net weight of 10 kg and ""frozen pork knuckles"" with a net weight of 10 kg. In both lines, several boxes were observed under the weight when the employee was weighing and labelling. The operators in ",5.5.1,OK,
50,Caseificio Europeo Società Agricola Cooperativa Soc Coop,"On 13/05/2025, an audit was scheduled and performed by IFS as part of the INTEGRITY ON SITE CHECK program.
 The auditor did not have access to the production site because the people present declared that they could not take the audit
 According to the IFS Food standard § 5.1.2, the certification body proceeds to suspend the certificate",5.1.2,OK,
51,Embotelladora Metropolitana S.A. (Planta Santiago),"During the unannounced On-Site Integrity Check conducted on 24th April 2025, the following nonconformities regarding the requirements of the IFS Food Standard Version 8, were identified: 
 KO NON-CONFORMITIES 
 1. Requirement 2.3.9.1 – HACCP / CCPs 
 · CCP1: Use of records (SOP07-R8, SOP07- R9) not included in the HACCP plan. 
 · CCP3: Visual inspection (light screen) is not effective in detecting foreign bodies in non-translucent products. 
 · CCP4 and CCP5: Operators monitor but do not record ","4.18.1, 4.9.1.1, 4.16.5, 4.2.1.1, 4.10.2, 5.1.2",MULTIPLE,
52,MADONNA INDUSTRIAL BAKERY S.R.L.,Cessation of activity at the plant located in Via Gandhi 36B – Modena (MO) and consequent transfer to a new site.,,MISSING,
53,JAMONES EUTIQUIO S.L.U.,"Mayor against requirement 4.13.2. It is observed during the audit that the company has serious deficiencies in the implementation of its pest control plan:
 During the plant inspection, it has been observed that the floor of the “Mantecado work area” is in a poor state to carry out operations with food products. The floor was found with the presence of worms, some of them alive, under the ham perches located in the back area of the work area. Some beetles have been observed as well.
 On the othe",4.13.2,OK,
57,INOCENCIO BELTRAN Y CIA S.L.,"""During its recertification audit, KO no. 2 (point 2.3.9.1) was scored with a 'D'. The company was unable to demonstrate proper monitoring of its PCC.Presence of unauthorized plant protection products or levels exceeding the permitted MRLs (Maximum Residue Limits). It is not possible to verify whether the dosage of the product used was correct.""",,POTENTIAL_MISS,
58,INOCENCIO BELTRAN Y CIA S.L.,"""During its recertification audit, KO no. 2 (point 2.3.9.1) was scored with a 'D'. The company was unable to demonstrate proper monitoring of its PCC. Presence of unauthorized plant protection products or levels exceeding the permitted MRLs (Maximum Residue Limits).It is not possible to verify whether the dosage of the product used was correct.",,POTENTIAL_MISS,
59,NATA MINERALE Sp. z o.o.,"Major NC for 5.3.2:
 Records of CCP monitoring at the pasteurization stage are kept by computer (continuous recording). Auxiliary manual records regarding pasteurization according to the HACCP document of 24.05.2025 should be kept by controlling the temperature on the display (3 x pasteurized product tank) and controlling the pasteurization time by measuring with a stopwatch once a month). Additional manual records of pasteurization time control have not been documented since 04.2024, and there ",5.3.2,OK,
60,SKC Consulting Kft,"During an IFS integrity audit (29 04 2025) , these deviations were found.
 KO IFS requirement 4.18.1: The company did not keep records of how many pieces of shrimp skewers and salmon fillets with green spices were treated or that these products were treated at all. Full traceability of the treated products (type and quantity) was not ensured.
 KO IFS requirement 2.3.9.1 There is no monitoring for weekends and public holidays when there is no production (temperature control of cold stores is defi","1.1.2, 4.18.1",MULTIPLE,
61,"NEBOT LUCAS, SL B12379459","IFS STANDAR REFERENCE: 5.4.1 LEVEL: MAJOR
 The company conducts commercial transactions with suppliers and customers using the SC model platform scale with serial number 6202. In addition, it performs weight checks on end-of-line, net-labelled products using scales at the end of the packaging line. An ENAC calibration certificate is provided for two of the platform scales and an internal verification certificate is provided for the quality control scales.
 * ENAC calibration certificate number 0",5.4.1,OK,
62,Przedsiębiorstwo Wielobranżowe Komplex Młyn Sp.z o.o.,"During the announced IFS recertification audit conducted on 25-26.04.2025, 1 KO non-conformity (4.12.1) and 2 MAJOR non-conformities (4.10.2; 4.13.2) were identified. The company signed the action plan presented by the auditor on 25.04.2025 and decided to discontinue the audit (by signing the discontinuation declaration). On 29.04.2025 the Certification Body sent the Company the action plan received from the auditor. Komplex Młyn has 4 weeks to send the complete action plan.","4.12.1, 4.10.2, 4.13.2",MULTIPLE,
63,Bodega Comercial Vinícola del Sur S.L.,"The company added citric acid diluted in water at a dosage of 1g/L after the end of fermentation of the vinegar, as an acidity regulator, but citric acid it is not declared on the label as an ingredient according to EC Regulation 1169/2011.",,MISSING,
66,Vegeland Società Agricola S.r.l. Pty Ktd,"The payment for the last IFS Food audit on April 7-8, 2025, was not done.",,MISSING,
67,CONTIMAX S.A. oddział w Dąbrowie Chełmińskiej .,"NC – 2.3.9.4
 
 During the audit, an improper method of monitoring the control point - thawing of raw fish was found.
 
 The thawing temperatures were verified:
 1) Chamber B, trolley no. 1 - 1.1 °C; 4.5 °C; 3.2 °C; 0.1 °C; 8.8 °C
 2) Chamber B, trolley no. 2 - 8.8 °C; 8.8 °C; 9.1 °C
 3) Chamber 115/05 - -0.6 °C; 4.6 °C; 6.2 °C; 1.8 °C; 2.8 °C
 
 According to Regulation 853/4, ""Chapter VII ""Fresh fishery products, thawed unprocessed fishery products, and cooked and chilled products from crustace",2.3.9.4,OK,
69,TRIOPACK GmbH,Discontinuance of business,,MISSING,
70,GO-fresh GmbH,"2.3.6.1 Major:
 In the HACCP concept, the risk of excessive sulphite concentration is analyzed for fruit instead of vegetables and assessed at 1 x 3 = 3. Fruit has not been processed at this location since 2025. In this context, ""Testing the concentration/formulation pH < 4"" is specified for fruit. The pH value cannot be used to determine the sulphite concentration. The control of the immersion bath with ascorbic acid and sodium bisulfite, defined as an oPRP, is not currently mastered, and the t","2.3.6.1, 4.3.2",MULTIPLE,
72,Zanobeet S.L.,"A Major NC was raised during the IFS Integrity On-site Check on April 24, 2025.
 Description of the Major NC:
 Clause 4.13.2:
 “During the IOC it has been observed that the pest control plan is not correctly implemented:
 - Presence of reptile excrement (geckos) in the packaging area.
 -Presence of many rodent droppings in the machine used for sorting pumpkin. Not in use on the day of the IOC.
 - Presence of a lot of snails in the beetroot washing machine, floor of this area and walls of the pac",4.13.2,OK,
73,HORTICULTORES EL TORCAL S.C.A.,"KO against requirement 1.2.1:
 During audit tour it has been observed the usage of packaging material (primary packaging material) printed with retailer’s brand (MARXX TXX) and legal identification of the retailer as broker (NEXX MARXXX) used in product not destined to the retailer identified in that packaging material. The material was being used in the product “Espárrago Verde” Size 6/10 Cat I, batch 001702) destined to several customer’s of the national market. The instructions and authorizat","4.5.2, 1.2.1, 3.2.7, 3.2.2, 3.4.2, 4.10.2, 5.11.3",MULTIPLE,
74,GOLSKI LT JSC,Certificate is held due to the lack of payment,,MISSING,
76,SAREROM SRL,"During the renewal IFS Food audit on the 12.05.2025, a Major has been raised under req.4.13.1: Site premises an equipment do not allow prevention of pest entry and infestation: during the on site tour, seen pigeons up to the packaging of on site area where final products are open, together with pigeon droppings on some final products pallets and on the floor inside of final storage area.
 
 Furthermore the site has decided to interrupt the audit.",4.13.1,OK,
77,Wellbena Sp. z o.o.,No payment done,,MISSING,
78,CHIAROLLA S.r.l.,"During the audit completed on site on 06/05/2025 the following Major NCs and KO were identified:
 3.2.2 KO: The HACCP/Quality Manager C.A. does not wear the clothing and headgear required by internal procedures during the tour of the production premises.. Also, presence of employee with false eyelashes detected in production premises, although company procedure POG1 Internal personnel rules ed. 0 rev. 1 of 2024/03/04 reports this prohibition. The employee is not directly involved in production.
","4.14.3, 4.13.5, 4.12.3, 2.3.5.1, 3.2.2, 4.9.2.3, 4.9.3.1, 4.9.6.2, 4.16.5, 4.12.1, 4.13.1, 4.10.2, 5.11.3, 4.9.2.2",MULTIPLE,
80,Sirignano s.r.l.,outstanding payments,,MISSING,
81,SCHWAN SUGAR-FREE D.O.O.,The company decided to stop the certification and terminated the contract with our Certification Body.,,MISSING,
82,Oerlemans Foods Waalwijk B.V. .,"During the audit completed on site on 20-21/05/2025 the following Major NCs and KO were identified:
 
 1.1.1 Major NC During the audit tour a substantial lack of Food Safety and Quality culture was seen with some of the employees. So were seen employees with private phones, incorrect verification on cleaning, not allowed lubricants and ""home"" knives. The food safety Culture plan as assessed during document review was present but in a rudimentary format. So were no goals determent for 2024 and no",1.1.1,OK,
83,COOPERATIVE LAITIERE DE YENNE PORTE DE SAVOIE SCA,"Major NC on 4.8.2 : Yenne site :
 The production flow during the raclette smoking stage in remote building No. 2 was not designed to prevent the risks of microbiological, chemical, and physical contamination of this semi-finished product, resulting in a loss of control over a process that could affect food safety.
 
 Indeed, the smokehouse was located in a building separate from the main site, which serves as a storage area for detergents, cardboard, packaging, and wooden pallets. This area conn",4.8.2,OK,
84,"CANPIPORK, S.L.","KO Non-Conformity Req. 4.12.1
 It is evident that the procedures to prevent contamination by foreign bodies from the facilities are not properly implemented, as several non-compliances were observed in the cutting room and cold storage rooms, such as: In the cutting room, it is evident: Leak in the evaporator with constant dripping of water at the entry point of the carcasses to the cutting line, several hard plastic housings of lights above the cutting line half detached, with loss of integrity","4.9.4.1, 4.12.1",MULTIPLE,
86,NS ESTATE SIA,"The audit of NS Estate SIA was conducted on 12-13-14-15-16 May 2025. The auditor found 2 KOs and 2 Major on the last day of the audit. During the review of the action plan and the audit report is reviewed by the TR total 2 KOs and 5 Major NCs are raised. 
 
 1.2.1 KO N° 1: The senior management shall ensure that employees are aware of their responsibilities related to food safety and product quality and that mechanisms are implemented to monitor the effectiveness of their operation. Such mechani","1.2.1, 4.12.3, 4.3.2, 5.11.4, 3.2.9, 5.6.1, 5.3.2, 4.13.2, 5.6.2, 5.11.3, 5.1.2",MULTIPLE,
89,SAGI S.R.L.,The certificate has been suspended because the company has not provided the requested clarifications regarding a change in the scope of certification for which Certiquality has received notification from the market.,,POTENTIAL_MISS,
90,"ALFONSO GARCIA LÓPEZ, (PESCAMAR) S.A.","During the IOC audit completed on site on 19/05/2025 the following Major NC was identified:
 
 4.13.2 Major 
 During the visit to the plant, the presence of numerous rodent droppings was observed in several areas where there is open product.
 - Reception area for raw material, tuna, cephalopods, mussels, etc. This area communicates directly with the production area itself.
 This area also communicates with the company's yard where the waste (Sandach) and the treatment plant are located.
 Accordi",4.13.2,OK,
92,BELMOCA NV,"Major 5.5.1 : The implemented quantity control method for 1 product did not meet the legal requirements and customer specification, namely during the on-site tour, the check weight had a TU2 of 49 g. On the same production line, a different check weight was assigned to a different program with a TU2 limit of 50 g. According to the operator, there were problems configuring one of the control weight with the correct program. It was found that the label on the manufactured product stated a weight o",5.5.1,OK,
94,GUILLOT COBREDA SA,"During the IFS audit conducted from May 13 to 15, 2025, a major non-conformity was raised against requirement 5.5.1.:
 - The multi-scale balance No. 10829577 has a minimum scale of 2 g (for a capacity of 6 kg) even though it is used to weigh trays weighing less than 2 kg (whole chickens in plastic wrap). It should have a scale of 1 g. This scale, used as a legal measuring instrument, is therefore not suitable, as it is not accurate enough to guarantee the accuracy of average weights.
 
 - None o",5.5.1,OK,
95,ROCA 1927 S.L.U.,"Mayor non-conformity 4.3.2.
 During the visit to the plant, several labels were checked in the dispatch process and in the final product chamber and there was evidence of non-compliance in relation to the temperature at which the product should be kept, based on Regulation (EC) No 853/4 of the European Parliament and of the Council of 29 April 4, which lays down specific hygiene rules for food of animal origin.
  • The labels placed on the viscera in chamber no. 20 indicate to keep between 0-4 º",4.3.2,OK,
96,Chocolaterie Boulanger BV,"During the audit completed on site on 15-16/05/2025 the following Major NCs and KO were identified:
 4.17.4 Major: A greenish corrosion substance, identified as copper carbonate, was observed forming on chocolate residues around a brass alloy screw at the white chocolate line (Solich), brass alloy screw located above or near the chocolate tank, in contact with chocolate residues.
 
 5.11.1 KO: During the external IFS audit on 14–15.05.2025, a high number of deviations were observed across key fo","5.11.4, 4.10.2, 5.2.1, 5.11.1, 4.14.5, 4.17.4, 5.11.3",MULTIPLE,
97,Bracigliano Salumi di Claudio Calvanese & C. s.r.l.,"During the IFS Integrity on-site check, carried out on 15/05/2025 by an auditor appointed by IFS, the following were found: 3 non-conformities classified as major and 1 KO.",,POTENTIAL_MISS,
103,SOL PASTA & MORE SHPK,outstanding payments,,MISSING,
104,Patisserie Jack Heesen B.V.,"During the IOC audit completed on site on 24-April-2025 the following Major NCs and KO were identified:
  
 5.11.3 - KO - During the onsite check the following deviations were seen that were scored previous audit a D.
 3.2.1 At two places (Maintenance chart and in desk production line production area) packaging containing food supplements and candy were found. Due to no seen use and or any traces in the near vicinity of open products no higher deviation. During the onsite check ice-creams were s","4.13.4, 4.10.1, 3.2.1, 4.10.2, 5.11.3",MULTIPLE,
105,Wback GmbH,"Requirement Chapter: 4.10.2 – Major
 Observation regarding the cleaning condition during the audit
 The cleaning condition at the time of the audit was unsatisfactory.
 Currently, a 14-day cleaning cycle is carried out on weekends by an external service provider. The last cleaning day was May 17, 2025; the audit began on May 21, 2025.
 In addition, each shift carries out a daily cleaning, which is documented in the cleaning protocol FB58/Rev2 dated November 17, 2017.
 Deviations:
 • Dough residu","4.10.2, 4.12.2",MULTIPLE,
106,TRENKER JOHANN SAS,the company decided to renounce,,MISSING,
107,DAVA Foods Denmark A/S,"During the audit completed on site on 19-22/05/2025 the following Major NC was identified:
 Major deviation - clause 4.3.2
 The labelling of White Pro Strawberry does not include the mandatory warning required by Regulation (EC) No 1333/2008 for the use of the color additive E124 (Ponceau 4R), which states:
 “May have an adverse effect on activity and attention in children.”
 The first production of White Pro Strawberry containing E124 was 28.02.2024. The current and valid version of label for W",4.3.2,OK,
109,Johann Nauen GmbH,"Major in 4.2.1.1
 According to the recipe, article 003618 Tomato ketchup consists of the components tomato puree, spirit vinegar, sugar, modified corn starch, table salt and water. 
 There is a list of ingredients on the sales containers, which also lists spices in the last position, but spices are also listed in the specification for this tomato ketchup, which was last tested and approved on 03.01.2024. However, according to the recipe and the audited production documents, no spices are used in",4.2.1.1,OK,
110,ALEJANDRO MIGUEL S.L.,"A KO was raised during the IFS Integrity On-site Check on May 19, 2025. 
 Description of the KO:
 Clause 4.18.1:
 “A traceability system is not always maintained to enable the identification of product lots and their relation to relevant food safety information as BBD or expiry date. The traceability system doesn't always incorporate all relevant records as BBD. E.g., during the on-site inspection it's noted that:
 -‘cabecero de lomo’ lot 250084 received on 20 January 2025 (according to delivery",4.18.1,OK,
111,MONTS ET TERROIRS La Bathie MONTS ET TERROIRS La Bathie,"Major NC on requirement 4.5.2: 
 The site uses brown cardboard boxes for packing Tommes de Savoie cheeses (boxes of 1 or 4 Tommes) from 2 different suppliers Sxx and Exx. The cheeses are placed on wooden bases suitable for food contact (certificate dated 15/05/2023) and covered on the upper surface only with muslin paper that is also suitable for food contact (certificate dated 06/01/2025). However, the site does not have a food certificate for the brown cardboard boxes, even though the cheese h",4.5.2,OK,
113,J. Viñas S.A.,"In the Integrity on site check unannounced audit performed on May 22nd, 2025, 1 Major and 1 D KO Scoring non-conformity was identified on requirement 4.3.2. and 4.18.1:
 
 “4.18.1 D scoring in a KO requirement: A traceability system is not maintained that enables the identification of product lots and their relation to batches of raw materials. During the on-site inspection is checked that in the finished product raw sausage “Butifarra Vedella” with expiration 25-MAY-2025 (own brand) it carries ","4.18.1, 4.3.2",MULTIPLE,
